Human_date,Channel,kwh,db_date,
2/1/2019 1:00,10,0.843,2019-02-01 01:00:00,
2/1/2019 2:00,10,0.731,2019-02-01 02:00:00,
2/1/2019 3:00,10,0.725,2019-02-01 03:00:00,
2/1/2019 4:00,10,0.83,2019-02-01 04:00:00,
2/1/2019 5:00,10,0.848,2019-02-01 05:00:00,
2/1/2019 6:00,10,0.814,2019-02-01 06:00:00,
2/1/2019 7:00,10,0.712,2019-02-01 07:00:00,
2/1/2019 8:00,10,1.752,2019-02-01 08:00:00,
2/1/2019 9:00,10,1.46,2019-02-01 09:00:00,
2/1/2019 10:00,10,0.809,2019-02-01 10:00:00,
2/1/2019 11:00,10,0.744,2019-02-01 11:00:00,
2/1/2019 12:00,10,0.812,2019-02-01 12:00:00,
2/1/2019 13:00,10,0.71,2019-02-01 13:00:00,
2/1/2019 14:00,10,0.677,2019-02-01 14:00:00,
2/1/2019 15:00,10,0.743,2019-02-01 15:00:00,
2/1/2019 16:00,10,0.777,2019-02-01 16:00:00,
2/1/2019 17:00,10,0.758,2019-02-01 17:00:00,
2/1/2019 18:00,10,1.23,2019-02-01 18:00:00,
2/1/2019 19:00,10,1.179,2019-02-01 19:00:00,
2/1/2019 20:00,10,1.041,2019-02-01 20:00:00,
2/1/2019 21:00,10,2.169,2019-02-01 21:00:00,
2/1/2019 22:00,10,1.506,2019-02-01 22:00:00,
2/1/2019 23:00,10,1.223,2019-02-01 23:00:00,
2/2/2019 0:00,10,0.748,2019-02-02 00:00:00,
2/2/2019 1:00,10,0.766,2019-02-02 01:00:00,
2/2/2019 2:00,10,0.779,2019-02-02 02:00:00,
2/2/2019 3:00,10,0.718,2019-02-02 03:00:00,
2/2/2019 4:00,10,0.752,2019-02-02 04:00:00,
2/2/2019 5:00,10,0.803,2019-02-02 05:00:00,
2/2/2019 6:00,10,0.699,2019-02-02 06:00:00,
2/2/2019 7:00,10,0.689,2019-02-02 07:00:00,
2/2/2019 8:00,10,1.137,2019-02-02 08:00:00,
2/2/2019 9:00,10,0.971,2019-02-02 09:00:00,
2/2/2019 10:00,10,0.995,2019-02-02 10:00:00,
2/2/2019 11:00,10,1.019,2019-02-02 11:00:00,
2/2/2019 12:00,10,1.54,2019-02-02 12:00:00,
2/2/2019 13:00,10,1.129,2019-02-02 13:00:00,
2/2/2019 14:00,10,0.97,2019-02-02 14:00:00,
2/2/2019 15:00,10,1.035,2019-02-02 15:00:00,
2/2/2019 16:00,10,1.142,2019-02-02 16:00:00,
2/2/2019 17:00,10,0.875,2019-02-02 17:00:00,
2/2/2019 18:00,10,0.95,2019-02-02 18:00:00,
2/2/2019 19:00,10,1.671,2019-02-02 19:00:00,
2/2/2019 20:00,10,1.082,2019-02-02 20:00:00,
2/2/2019 21:00,10,1.197,2019-02-02 21:00:00,
2/2/2019 22:00,10,4.371,2019-02-02 22:00:00,
2/2/2019 23:00,10,2.69,2019-02-02 23:00:00,
2/3/2019 0:00,10,1.077,2019-02-03 00:00:00,
2/3/2019 1:00,10,0.973,2019-02-03 01:00:00,
2/3/2019 2:00,10,0.835,2019-02-03 02:00:00,
2/3/2019 3:00,10,0.803,2019-02-03 03:00:00,
2/3/2019 4:00,10,1,2019-02-03 04:00:00,
2/3/2019 5:00,10,0.901,2019-02-03 05:00:00,
2/3/2019 6:00,10,0.851,2019-02-03 06:00:00,
2/3/2019 7:00,10,0.938,2019-02-03 07:00:00,
2/3/2019 8:00,10,3.339,2019-02-03 08:00:00,
2/3/2019 9:00,10,2.883,2019-02-03 09:00:00,
2/3/2019 10:00,10,1.605,2019-02-03 10:00:00,
2/3/2019 11:00,10,1.439,2019-02-03 11:00:00,
2/3/2019 12:00,10,2.166,2019-02-03 12:00:00,
2/3/2019 13:00,10,1.32,2019-02-03 13:00:00,
2/3/2019 14:00,10,0.943,2019-02-03 14:00:00,
2/3/2019 15:00,10,1.037,2019-02-03 15:00:00,
2/3/2019 16:00,10,2.517,2019-02-03 16:00:00,
2/3/2019 17:00,10,1.699,2019-02-03 17:00:00,
2/3/2019 18:00,10,1.592,2019-02-03 18:00:00,
2/3/2019 19:00,10,0.836,2019-02-03 19:00:00,
2/3/2019 20:00,10,1.005,2019-02-03 20:00:00,
2/3/2019 21:00,10,0.906,2019-02-03 21:00:00,
2/3/2019 22:00,10,0.79,2019-02-03 22:00:00,
2/3/2019 23:00,10,0.778,2019-02-03 23:00:00,
2/4/2019 0:00,10,0.657,2019-02-04 00:00:00,
2/4/2019 1:00,10,0.629,2019-02-04 01:00:00,
2/4/2019 2:00,10,0.614,2019-02-04 02:00:00,
2/4/2019 3:00,10,0.732,2019-02-04 03:00:00,
2/4/2019 4:00,10,0.586,2019-02-04 04:00:00,
2/4/2019 5:00,10,0.522,2019-02-04 05:00:00,
2/4/2019 6:00,10,0.732,2019-02-04 06:00:00,
