"Time (UTC)","Barometric Pressure (mbar)","Temperature (degrees F)","Dewpoint (degrees F)","Relative Humidity (%)","Wind speed (mph)","Wind direction (degrees)","Analysis Barometric Pressure (mbar)","Analysis Temperature (degrees F)","Analysis Dewpoint (degrees F)","Analysis Relative Humidity (%)","Analysis Wind speed (mph)","Analysis Wind direction (degrees)"
2018-12-08 13:01:00,1028.00,6.0,2.2,84,0,0,1028.96,10.4,1.9,67,1.3,24
2018-12-08 13:16:00,1028.00,7.0,2.7,82,0,0,1028.96,10.4,1.9,67,1.3,24
2018-12-08 13:31:00,1028.10,8.0,1.8,75,0,0,1028.96,10.4,1.9,67,1.3,24
2018-12-08 13:47:00,1028.10,10.0,2.2,69,0,0,1028.96,10.4,1.9,67,1.3,24
2018-12-08 14:01:00,1028.20,12.0,1.9,63,0,0,1029.21,13.9,0.4,54,1.5,358
2018-12-08 14:16:00,1028.20,13.0,1.4,58,0,0,1029.21,13.9,0.4,54,1.5,358
2018-12-08 14:31:00,1028.20,14.0,0.8,55,1,345,1029.21,13.9,0.4,54,1.5,33
2018-12-08 14:46:00,1028.50,15.0,0.2,50,0,7,1029.21,14.3,0.4,53,1.5,33
2018-12-08 15:02:00,1028.40,16.0,-0.6,47,0,51,1029.41,17.8,-1.7,41,1.6,4
2018-12-08 15:15:00,1028.50,17.0,-0.6,45,0,0,1029.41,17.8,-1.7,41,1.6,329
2018-12-08 15:30:00,1028.40,18.0,-0.2,44,0,0,1029.41,17.8,-0.8,43,1.6,329
2018-12-08 15:45:00,1028.10,18.0,0.3,44,0,0,1029.41,17.8,-0.9,42,1.6,329
2018-12-08 16:00:00,1028.10,19.0,0.7,44,0,0,1028.98,20.0,-0.8,39,1.3,327
2018-12-08 16:15:00,1027.90,20.0,-0.4,40,0,0,1028.98,20.0,-1.0,38,1.3,327
2018-12-08 16:30:00,1027.80,20.0,-0.4,40,0,0,1028.98,20.0,-1.1,38,1.3,327
2018-12-08 16:45:00,1027.60,20.0,0.1,41,0,0,1028.98,20.0,-1.2,38,1.3,327
2018-12-08 17:01:00,1027.30,21.0,0.5,40,0,0,1028.12,21.7,-2.8,33,1.5,306
2018-12-08 17:16:00,1026.80,21.0,-0.6,37,0,72,1028.12,21.7,-3.0,32,1.5,341
2018-12-08 17:31:00,1026.70,21.0,-0.0,38,0,0,1028.20,21.7,-2.9,32,1.5,306
