"Time (UTC)","Barometric Pressure (mbar)","Temperature (degrees F)","Dewpoint (degrees F)","Relative Humidity (%)","Wind speed (mph)","Wind direction (degrees)","Analysis Barometric Pressure (mbar)","Analysis Temperature (degrees F)","Analysis Dewpoint (degrees F)","Analysis Relative Humidity (%)","Analysis Wind speed (mph)","Analysis Wind direction (degrees)"
2018-12-04 21:17:00,1012.80,24.0,11.4,57,4,355,1011.61,25.1,10.3,52,2.6,335
2018-12-04 21:31:00,1012.90,24.0,12.2,60,2,322,1011.61,25.1,10.3,52,2.6,335
2018-12-04 21:46:00,1013.00,24.0,12.5,61,0,312,1011.61,25.1,10.3,52,2.6,335
2018-12-04 22:01:00,1013.20,23.0,12.3,63,0,315,1012.41,24.1,10.8,56,1.6,325
2018-12-04 22:15:00,1013.40,23.0,12.7,64,0,306,1012.41,24.1,10.8,56,1.6,325
2018-12-04 22:30:00,1013.60,23.0,13.0,65,1,345,1012.41,24.1,10.8,56,1.6,325
2018-12-04 22:45:00,1013.90,22.0,12.4,66,3,317,1012.41,24.1,10.8,56,1.6,325
2018-12-04 23:00:00,1014.30,23.0,13.4,65,4,306,1013.20,23.3,11.4,59,3.1,336
2018-12-04 23:15:00,1014.60,23.0,13.0,65,3,343,1013.20,23.3,11.4,59,3.1,336
2018-12-04 23:30:00,1014.80,22.0,12.1,64,2,271,1013.20,23.3,11.4,59,3.1,336
2018-12-04 23:45:00,1015.00,22.0,12.1,64,1,327,1013.20,23.3,11.4,59,3.1,336
2018-12-05 00:00:00,1015.10,22.0,12.1,64,1,344,1014.31,22.6,11.2,60,2.7,329
2018-12-05 00:15:00,1015.10,22.0,12.4,66,2,306,1014.31,22.6,11.2,60,2.7,329
2018-12-05 00:30:00,1015.20,22.0,12.4,66,0,344,1014.31,22.6,11.2,60,2.7,329
2018-12-05 00:46:00,1015.40,21.0,11.8,67,0,323,1014.31,22.6,11.2,60,2.7,329
2018-12-05 01:00:00,1015.40,21.0,12.1,67,0,0,1014.87,21.4,11.7,65,0.9,298
2018-12-05 01:15:00,1015.40,21.0,12.4,68,0,0,1014.87,21.4,11.7,65,0.9,298
2018-12-05 01:30:00,1015.60,20.0,11.8,70,0,0,1014.87,21.4,11.7,65,0.9,298
2018-12-05 01:45:00,1015.70,20.0,11.8,70,0,0,1014.87,21.4,11.7,65,0.9,298
2018-12-05 02:01:00,1016.00,19.0,11.8,73,0,0,1015.28,21.1,11.5,65,0.8,283
2018-12-05 02:16:00,1016.00,19.0,12.1,73,0,0,1015.28,21.1,11.5,65,0.8,283
2018-12-05 02:31:00,1016.00,18.0,11.7,76,0,321,1015.28,21.1,11.5,65,0.8,318
2018-12-05 02:46:00,1016.30,18.0,12.0,77,0,0,1015.28,21.1,11.5,65,0.8,283
2018-12-05 03:01:00,1016.40,19.0,13.0,76,0,0,1015.59,20.1,11.2,67,0.5,252
2018-12-05 03:16:00,1016.50,18.0,11.7,76,0,0,1015.59,20.1,11.2,67,0.5,252
2018-12-05 03:31:00,1016.40,17.0,11.1,77,0,0,1015.59,20.1,11.2,67,0.5,252
2018-12-05 03:48:00,1016.70,17.0,11.3,78,0,0,1015.59,20.1,11.2,67,0.5,252
2018-12-05 04:01:00,1016.70,16.0,10.9,79,0,0,1016.06,18.8,11.5,72,0.3,242
2018-12-05 04:17:00,1016.80,16.0,11.2,81,0,0,1016.06,18.8,11.6,72,0.3,242
2018-12-05 04:31:00,1016.90,15.0,10.2,80,0,0,1016.06,18.8,11.6,72,0.3,242
2018-12-05 04:47:00,1017.00,15.0,10.5,82,0,0,1016.06,18.8,11.5,72,0.3,242
2018-12-05 05:00:00,1017.10,14.0,9.5,82,0,0,1016.32,17.6,11.5,76,0.4,284
