"Time (UTC)","Barometric Pressure (mbar)","Temperature (degrees F)","Dewpoint (degrees F)","Relative Humidity (%)","Wind speed (mph)","Wind direction (degrees)","Analysis Barometric Pressure (mbar)","Analysis Temperature (degrees F)","Analysis Dewpoint (degrees F)","Analysis Relative Humidity (%)","Analysis Wind speed (mph)","Analysis Wind direction (degrees)"
2018-03-20 19:25:00,1012.20,44.0,15.3,30,0,284,1011.43,41.8,14.7,32,1.6,320
2018-03-20 19:40:00,1012.10,43.0,13.7,29,0,310,1011.43,41.8,14.2,32,1.6,320
2018-03-20 19:55:00,1012.00,43.0,14.5,31,0,5,1011.44,42.0,15.8,34,2.1,313
2018-03-20 20:10:00,1012.10,43.0,14.5,31,1,28,1011.44,42.0,15.7,33,2.1,313
2018-03-20 20:25:00,1012.10,42.0,13.6,30,0,321,1011.44,42.0,15.6,33,2.1,313
2018-03-20 20:40:00,1011.90,42.0,14.3,32,3,28,1011.44,42.0,15.9,34,2.1,313
2018-03-20 20:55:00,1011.90,42.0,15.7,34,2,307,1011.39,41.5,15.4,34,1.5,341
2018-03-20 21:10:00,1011.90,42.0,12.8,29,0,283,1011.39,41.5,15.4,34,1.5,342
2018-03-20 21:25:00,1011.90,42.0,13.6,30,1,317,1011.39,41.5,15.4,34,1.5,342
2018-03-20 21:40:00,1012.00,41.0,14.1,33,0,347,1011.39,41.5,13.6,31,1.5,342
2018-03-20 21:55:00,1012.20,41.0,14.8,34,0,0,1011.50,40.1,14.6,34,1.4,304
2018-03-20 22:10:00,1012.20,41.0,15.5,35,0,0,1011.50,40.1,14.6,34,1.4,304
2018-03-20 22:25:00,1012.20,40.0,16.5,38,0,0,1011.50,40.1,14.6,34,1.4,304
2018-03-20 22:40:00,1012.40,39.0,16.2,39,0,0,1011.50,40.1,14.6,34,1.5,308
2018-03-20 22:55:00,1012.40,37.0,17.7,45,0,0,1011.75,35.1,17.0,47,0.9,285
2018-03-20 23:10:00,1012.50,36.0,18.7,49,0,0,1011.75,35.1,17.3,47,0.9,285
2018-03-20 23:25:00,1012.70,34.0,19.1,53,0,0,1011.75,35.1,17.3,47,0.9,285
2018-03-20 23:40:00,1012.60,32.0,18.1,55,0,0,1011.75,35.1,17.3,47,0.9,285
2018-03-20 23:55:00,1012.60,31.0,17.6,56,0,333,,,,,,
2018-03-21 00:10:00,1012.80,30.0,18.9,62,0,0,1012.27,30.6,19.5,62,0.5,340
2018-03-21 00:25:00,1013.00,29.0,18.7,64,0,0,1012.27,30.6,19.5,62,0.5,340
2018-03-21 00:40:00,1013.20,28.0,19.5,69,0,0,1012.27,30.6,19.5,62,0.5,340
2018-03-21 00:55:00,1013.40,27.0,18.9,70,0,0,1012.62,28.4,19.4,68,0.0,24
2018-03-21 01:10:00,1013.40,27.0,19.2,72,0,0,1012.62,28.4,19.4,68,0.0,24
2018-03-21 01:25:00,1013.40,26.0,17.9,71,0,0,1012.62,28.4,19.4,68,0.0,24
2018-03-21 01:40:00,1013.50,26.0,18.9,73,0,0,1012.62,28.4,19.4,68,0.0,24
2018-03-21 01:55:00,1013.30,25.0,18.2,75,0,0,1013.01,25.7,18.9,75,0.1,114
2018-03-21 02:10:00,1013.30,25.0,17.9,73,0,0,1013.01,25.7,18.8,74,0.1,114
2018-03-21 02:25:00,1013.40,25.0,17.9,73,0,0,1013.01,25.7,18.8,74,0.1,114
2018-03-21 02:40:00,1013.70,24.0,16.3,72,0,0,1013.01,25.7,18.8,74,0.1,114
2018-03-21 02:55:00,1013.70,24.0,16.3,72,0,0,1013.04,24.6,17.4,73,0.1,116
2018-03-21 03:10:00,1013.30,24.0,16.6,72,0,0,1013.04,24.6,17.4,73,0.1,116
2018-03-21 03:25:00,1013.20,23.0,16.3,75,0,0,1013.04,24.6,17.4,73,0.1,116
2018-03-21 03:40:00,1013.20,24.0,16.9,74,0,0,1013.04,24.6,17.4,73,0.1,116
2018-03-21 03:55:00,1013.20,24.0,16.0,71,0,0,1012.64,25.4,16.3,67,1.4,359
2018-03-21 04:10:00,1013.20,25.0,16.3,69,0,29,1012.64,25.4,16.3,67,1.4,34
2018-03-21 04:25:00,1013.90,26.0,16.6,67,0,0,1012.63,25.4,16.3,67,1.4,359
2018-03-21 04:40:00,1014.10,26.0,16.6,67,0,0,1012.63,25.4,16.3,67,1.4,359
2018-03-21 04:55:00,1014.00,26.0,16.6,67,0,0,1013.42,25.5,15.2,64,0.5,324
2018-03-21 05:10:00,1014.10,25.0,15.9,67,0,0,1013.42,25.5,15.2,64,0.5,324
2018-03-21 05:25:00,1014.00,24.0,15.3,68,0,0,1013.42,25.5,15.2,64,0.5,324
2018-03-21 05:40:00,1013.70,24.0,15.7,70,0,25,1013.42,25.5,15.2,64,0.5,359
2018-03-21 05:55:00,1013.60,24.0,15.7,70,0,25,1013.27,24.0,15.2,68,1.1,24
2018-03-21 06:10:00,1013.60,24.0,15.3,68,0,0,1013.27,25.0,15.2,65,1.1,350
2018-03-21 06:25:00,1013.50,24.0,15.3,68,0,0,1013.27,25.0,15.2,65,1.1,350
2018-03-21 06:40:00,1013.30,24.0,15.3,68,0,0,1013.21,25.0,15.2,65,1.1,350
2018-03-21 06:55:00,1013.20,24.0,15.3,68,1,47,1012.93,23.9,14.4,66,1.7,32
2018-03-21 07:10:00,1013.20,24.0,15.0,68,0,0,1012.93,23.9,14.4,66,1.7,357
