"Time (UTC)","Barometric Pressure (mbar)","Temperature (degrees F)","Dewpoint (degrees F)","Relative Humidity (%)","Wind speed (mph)","Wind direction (degrees)","Analysis Barometric Pressure (mbar)","Analysis Temperature (degrees F)","Analysis Dewpoint (degrees F)","Analysis Relative Humidity (%)","Analysis Wind speed (mph)","Analysis Wind direction (degrees)"
2018-12-08 13:51:00,1029.80,17.1,-0.9,44,5,330,1029.27,17.6,3.7,53,1.0,322
2018-12-08 14:51:00,1030.10,19.9,-0.9,39,7,280,1029.70,21.1,2.9,44,0.9,283
2018-12-08 15:51:00,1029.80,21.9,-0.0,37,5,290,1029.27,25.7,2.7,36,0.7,328
2018-12-08 16:51:00,1028.80,23.0,-2.0,32,,,1028.32,24.8,1.7,36,,
2018-12-08 17:51:00,1028.50,25.0,-0.9,31,,,1027.75,26.2,2.3,34,,
2018-12-08 18:51:00,1028.10,25.0,-4.0,27,4,270,1027.47,25.9,1.4,33,2.2,292
2018-12-08 19:51:00,1028.10,25.0,-4.0,27,7,0,1027.37,24.7,0.9,34,1.7,308
2018-12-08 20:51:00,1028.10,23.0,-2.9,31,5,310,1027.63,22.4,1.2,38,0.8,282
2018-12-08 21:51:00,1028.80,21.0,-2.9,33,7,350,1028.36,19.2,1.5,45,1.1,327
2018-12-08 22:51:00,1029.80,19.9,-4.0,33,8,340,1029.25,18.5,1.0,45,0.9,31
2018-12-08 23:51:00,1030.48,17.1,-0.9,44,4,280,,,,,,
2018-12-09 00:51:00,1031.20,18.0,-0.9,42,5,260,1030.55,15.7,3.1,56,0.6,310
2018-12-09 01:51:00,1031.50,15.1,1.0,52,,,1030.86,14.4,4.3,63,,
2018-12-09 02:51:00,1031.50,14.0,1.9,57,0,0,1030.73,13.3,3.6,64,1.3,243
2018-12-09 03:51:00,1030.80,12.9,3.0,63,6,280,1030.19,12.8,4.5,68,1.5,281
2018-12-09 04:51:00,1030.50,15.1,3.0,58,4,260,1030.07,14.9,4.5,62,2.1,280
2018-12-09 05:51:00,1030.50,14.0,3.9,63,2,340,1029.77,12.8,5.0,70,0.3,18
2018-12-09 06:51:00,1030.50,14.0,5.0,66,2,80,1029.96,15.2,5.8,65,1.6,270
2018-12-09 07:51:00,1030.50,14.0,5.0,66,5,290,1030.02,15.3,6.5,67,0.7,320
2018-12-09 08:51:00,1030.10,14.0,6.1,70,2,280,1029.68,15.1,6.3,67,0.6,245
2018-12-09 09:51:00,1029.80,14.0,7.0,73,5,270,1029.31,14.8,6.8,70,0.4,253
2018-12-09 10:51:00,1029.50,16.0,6.1,64,5,250,1029.14,12.7,8.0,81,0.7,278
2018-12-09 11:51:00,1029.10,12.9,7.0,76,,,1028.85,14.8,8.0,73,,
2018-12-09 12:51:00,1029.50,15.1,8.1,73,0,0,1028.79,16.5,9.2,72,0.3,127
2018-12-09 13:51:00,1029.10,21.0,10.9,64,2,300,1028.60,21.9,13.0,67,1.0,214
2018-12-09 14:51:00,1028.80,25.0,12.9,59,7,280,1027.98,26.4,15.4,62,1.2,260
2018-12-09 15:51:00,1027.40,28.0,12.9,52,7,280,1026.84,28.7,16.3,59,0.8,283
2018-12-09 16:51:00,1026.10,30.9,12.9,46,7,290,1025.47,32.6,16.7,51,2.4,292
2018-12-09 17:51:00,1024.70,33.1,12.9,42,7,250,1024.22,33.4,17.5,51,2.0,236
2018-12-09 18:51:00,1023.70,33.1,14.0,44,11,240,1023.19,33.6,17.4,51,2.9,259
2018-12-09 19:51:00,1023.00,33.1,14.0,44,7,180,1022.43,32.9,17.9,53,2.3,230
2018-12-09 20:51:00,1022.40,32.0,15.1,49,7,230,1021.91,31.9,18.4,56,1.6,223
2018-12-09 21:51:00,1021.70,30.0,16.0,55,2,210,1021.00,29.9,18.6,62,1.1,258
2018-12-09 22:51:00,1021.30,28.9,16.0,57,4,220,1020.59,28.2,19.0,68,2.4,228
2018-12-09 23:51:00,1020.32,28.9,17.1,60,5,210,,,,,,
2018-12-10 00:51:00,1020.00,27.0,17.1,65,2,230,1019.28,26.5,19.1,72,2.1,221
2018-12-10 01:51:00,1019.70,26.1,18.0,70,5,220,1019.18,27.1,18.8,70,1.4,257
2018-12-10 02:51:00,1019.00,26.1,18.0,70,6,240,1018.52,25.5,19.0,76,1.8,234
2018-12-10 03:51:00,1019.00,26.1,18.0,70,7,230,1018.29,24.7,19.8,81,1.6,252
2018-12-10 04:51:00,1018.60,25.0,18.0,74,6,230,1018.03,23.8,19.3,82,1.5,239
2018-12-10 05:51:00,1018.60,24.1,17.1,74,5,260,1017.88,24.0,18.4,79,0.4,251
2018-12-10 06:51:00,1018.30,19.9,16.0,84,0,0,1017.69,22.8,16.8,77,0.5,231
