"Time (UTC)","Barometric Pressure (mbar)","Temperature (degrees F)","Dewpoint (degrees F)","Relative Humidity (%)","Wind speed (mph)","Wind direction (degrees)","Analysis Barometric Pressure (mbar)","Analysis Temperature (degrees F)","Analysis Dewpoint (degrees F)","Analysis Relative Humidity (%)","Analysis Wind speed (mph)","Analysis Wind direction (degrees)"
2017-04-30 23:51:00,1013.89,44.1,37.0,75,4,120,,,,,,
2017-05-01 00:51:00,1025.10,45.0,35.1,68,6,140,1024.64,45.1,37.8,75,1.4,198
2017-05-01 01:51:00,1025.40,45.0,36.0,70,6,170,1024.93,44.4,37.8,77,1.4,202
2017-05-01 02:51:00,1025.10,44.1,36.0,72,5,230,1024.35,43.8,38.7,81,1.1,238
2017-05-01 03:51:00,1023.70,43.0,37.9,82,4,190,1023.33,43.2,38.8,84,0.9,229
2017-05-01 04:51:00,1023.00,43.0,39.0,85,4,200,1022.51,43.0,39.0,85,1.5,224
2017-05-01 05:51:00,1021.00,43.0,37.9,82,7,190,1020.91,42.8,39.1,86,1.3,219
2017-05-01 06:51:00,1020.70,43.0,37.9,82,4,200,1019.93,43.2,39.3,86,1.4,204
2017-05-01 07:51:00,1020.00,44.1,37.9,78,5,180,1019.45,43.3,39.8,87,1.3,203
2017-05-01 08:51:00,1020.00,44.1,39.0,82,2,170,1019.37,43.5,40.0,87,1.0,180
2017-05-01 09:17:00,1020.30,44.1,41.0,88,4,110,1019.37,43.5,40.0,87,1.0,180
2017-05-01 09:51:00,1020.00,44.1,39.9,85,4,120,1019.59,43.4,40.3,88,0.9,140
2017-05-01 10:51:00,1020.70,44.1,41.0,88,7,100,1019.71,43.6,40.8,89,1.3,138
2017-05-01 10:58:00,1020.70,44.1,39.9,85,7,110,1019.71,43.6,40.8,89,1.3,138
2017-05-01 11:51:00,1019.30,44.1,39.9,85,9,140,1019.20,43.8,40.9,89,2.5,125
2017-05-01 12:51:00,1019.70,44.1,39.9,85,14,140,1018.93,43.8,40.7,88,3.4,143
