"Time (UTC)","Barometric Pressure (mbar)","Temperature (degrees F)","Dewpoint (degrees F)","Relative Humidity (%)","Wind speed (mph)","Wind direction (degrees)","Analysis Barometric Pressure (mbar)","Analysis Temperature (degrees F)","Analysis Dewpoint (degrees F)","Analysis Relative Humidity (%)","Analysis Wind speed (mph)","Analysis Wind direction (degrees)"
2017-12-10 19:51:00,1007.50,36.0,23.0,58,13,240,1006.76,35.5,25.3,66,3.6,248
2017-12-10 20:51:00,1008.10,35.1,21.9,58,13,240,1007.87,33.9,24.7,68,3.0,234
2017-12-10 21:51:00,1009.20,32.0,23.0,68,2,220,1009.04,32.2,24.7,73,0.9,223
2017-12-10 22:51:00,1010.20,32.0,23.0,68,6,210,1009.77,31.4,23.9,73,1.8,228
2017-12-10 23:51:00,1011.58,32.0,23.0,68,5,210,,,,,,
2017-12-11 00:51:00,1011.90,30.9,23.0,72,5,200,1011.09,30.4,24.3,77,1.8,232
2017-12-11 01:51:00,1012.20,30.0,23.0,74,0,0,1011.41,29.4,23.8,79,1.6,208
2017-12-11 02:51:00,1012.20,28.9,21.0,71,11,220,1011.68,28.9,22.9,77,3.2,225
2017-12-11 03:51:00,1012.50,30.0,21.0,68,8,220,1012.10,29.1,22.9,77,2.3,214
2017-12-11 04:51:00,1012.90,30.0,21.0,68,8,210,1012.21,29.5,22.7,75,2.9,210
2017-12-11 05:51:00,1012.50,30.0,21.9,71,11,220,1012.03,29.7,23.0,75,2.8,230
2017-12-11 06:51:00,1012.90,30.0,23.0,74,13,220,1012.07,30.1,23.5,76,2.3,260
2017-12-11 07:51:00,1012.20,30.9,23.0,72,9,220,1011.66,30.6,24.4,77,0.9,248
2017-12-11 08:51:00,1012.20,30.9,23.0,72,9,220,1011.41,30.2,24.5,79,1.1,278
2017-12-11 09:51:00,1012.20,30.9,23.0,72,14,240,1011.49,30.4,24.5,78,1.6,282
