"Time (UTC)","Barometric Pressure (mbar)","Temperature (degrees F)","Dewpoint (degrees F)","Relative Humidity (%)","Wind speed (mph)","Wind direction (degrees)","Analysis Barometric Pressure (mbar)","Analysis Temperature (degrees F)","Analysis Dewpoint (degrees F)","Analysis Relative Humidity (%)","Analysis Wind speed (mph)","Analysis Wind direction (degrees)"
2019-10-23 05:15:00,1013.40,50.0,49.2,96,0,85,,,,,,
2019-10-23 05:30:00,1013.30,50.0,49.2,96,0,88,,,,,,
2019-10-23 05:45:00,1013.00,50.0,49.2,96,0,0,1012.22,50.6,49.5,95,,217
2019-10-23 06:00:00,1012.90,50.0,49.2,96,0,78,,,,,,
2019-10-23 06:15:00,1012.50,50.0,49.2,96,0,72,,,,,,
2019-10-23 06:30:00,1012.60,50.0,49.2,96,0,72,,,,,,
2019-10-23 06:46:00,1011.80,50.0,49.2,96,0,46,1011.19,50.6,49.6,96,,252
2019-10-23 07:00:00,1012.00,50.0,49.2,96,0,30,,,,,,
2019-10-23 07:15:00,1011.80,50.0,49.2,96,0,36,,,,,,
2019-10-23 07:30:00,1011.80,50.0,49.2,96,0,36,,,,,,
2019-10-23 07:45:00,1011.50,50.0,49.2,96,0,0,1011.05,50.0,49.0,96,,218
2019-10-23 08:16:00,1010.90,50.0,49.2,96,0,39,,,,,,
2019-10-23 08:30:00,1010.80,50.0,49.5,98,2,5,,,,,,
2019-10-23 08:46:00,1010.70,49.0,48.5,98,0,31,1010.06,49.6,48.8,96,,248
2019-10-23 09:01:00,1010.20,49.0,48.2,96,1,340,,,,,,
2019-10-23 09:16:00,1010.10,49.0,48.5,98,1,30,,,,,,
2019-10-23 09:32:00,1009.80,49.0,48.5,98,0,350,,,,,,
2019-10-23 09:46:00,1009.70,49.0,48.5,98,0,0,1009.22,49.5,48.7,96,,218
2019-10-23 10:01:00,1009.40,49.0,48.5,98,0,25,,,,,,
2019-10-23 10:16:00,1009.10,49.0,48.5,98,0,355,,,,,,
