DateBill,TypeRead,CurrentReadDate,PreviousReadDate,NumMeterReadDays,CurrentReading,PreviousReading,MeteredUnits,PressureAdjFactor,ActualCCFUsage,BTUCorrectionFactor,ThermsUsed,AmountActGasUse,MeterNumber,RateCode,Distribution,Commodity,TrustAssessment,TotalCostPerTherm,DistributionB,CommodityB,TrustAssessmentB,TotalCostPerThermB,ActualGasUsage,FacilityandServiceCharge,CurrentCharges,Adjustment,CurrentChargesDueDate,PreviousRequiredPayment,PaymentActivity
"2016-12-07 00:00:00.000000","Normal Reading","2016-12-05 00:00:00.000000","2016-11-03 00:00:00.000000","32","2850","2713","137","1.0169","139.3153","1.0215","142.31058","218.95","14Y355954","RGME","0.874","0.6645","0","1.5385",\N,\N,\N,\N,"218.95","20.57","239.52","0","2017-01-03 00:00:00.000000","128.52","Credit 128.52"
"2017-01-05 00:00:00.000000","Normal Reading","2017-01-04 00:00:00.000000","2016-12-05 00:00:00.000000","30","3073","2850","223","1.0169","226.7687","1.033","234.25207","360.4","14Y355954","RGME","0.874","0.6645","0","1.5385",\N,\N,\N,\N,"360.4","20.57","380.97","0","2017-02-01 00:00:00.000000","239.52","Debit 0.00"
"2017-02-06 00:00:00.000000","Normal Reading","2017-02-03 00:00:00.000000","2017-01-04 00:00:00.000000","30","3292","3073","219","1.0169","222.7011","1.0389","231.36417","355.95","14Y355954","RGME","0.874","0.6645","0","1.5385",\N,\N,\N,\N,"355.95","20.57","376.52","0","2017-03-05 00:00:00.000000","620.49","Credit 862.49"
"2017-03-06 00:00:00.000000","Normal Reading","2017-03-03 00:00:00.000000","2017-02-03 00:00:00.000000","28","3488","3292","196","1.0169","199.3124","1.0582","210.91238","324.49","14Y355954","RGME","0.874","0.6645","0","1.5385",\N,\N,\N,\N,"324.49","20.57","345.06","0","2017-04-02 00:00:00.000000","134.52","Credit 134.52"
"2017-04-06 00:00:00.000000","Normal Reading","2017-04-05 00:00:00.000000","2017-03-03 00:00:00.000000","33","3734","3488","246","1.0169","250.1574","1.0375","259.5383","399.3","14Y355954","RGME","0.874","0.6645","0","1.5385",\N,\N,\N,\N,"399.3","20.57","419.87","0","2017-05-03 00:00:00.000000","345.06","Credit 345.06"
"2017-05-04 00:00:00.000000","Normal Reading","2017-05-03 00:00:00.000000","2017-04-05 00:00:00.000000","28","3821","3734","87","1.0169","88.4703","1.027","90.859","139.72","14Y355954","RGME","0.874","0.6645","0","1.5385",\N,\N,\N,\N,"139.72","20.57","160.29","0","2017-05-31 00:00:00.000000","419.87","Credit 419.87"
"2017-06-06 00:00:00.000000","Normal Reading","2017-06-05 00:00:00.000000","2017-05-03 00:00:00.000000","33","3897","3821","76","1.0169","77.2844","1.0254","79.24742","122.24","14Y355954","RGME","0.874","0.6645","0","1.5385","0.884","0.6645","0","1.5485","122.24","20.81","143.05","0","2017-07-03 00:00:00.000000","160.29","Credit 160.29"
"2017-07-10 00:00:00.000000","Normal Reading","2017-07-06 00:00:00.000000","2017-06-05 00:00:00.000000","31","3935","3897","38","1.0169","38.6422","1.022","39.49233","61.36","14Y355954","RGME","0.884","0.6645","0","1.5485",\N,\N,\N,\N,"61.36","20.81","82.17","0","2017-08-06 00:00:00.000000","143.05","Credit 143.05"
"2017-08-07 00:00:00.000000","Normal Reading","2017-08-03 00:00:00.000000","2017-07-06 00:00:00.000000","28","3966","3935","31","1.0169","31.5239","1.0225","32.23319","49.89","14Y355954","RGME","0.884","0.6645","0","1.5485",\N,\N,\N,\N,"49.89","20.81","70.7","0","2017-09-03 00:00:00.000000","82.17","Credit 82.17"
"2017-09-07 00:00:00.000000","Normal Reading","2017-09-06 00:00:00.000000","2017-08-03 00:00:00.000000","34","3985","3966","19","1.0169","19.3211","1.0215","19.7365","30.59","14Y355954","RGME","0.884","0.6645","0","1.5485",\N,\N,\N,\N,"30.59","20.81","51.4","0","2017-10-04 00:00:00.000000","70.7","Credit 70.70"
