"PVWatts: Hourly PV Performance Data"
"Requested Location:","14 woodside Dr, cumberland center, maine"
"Location:","Lat, Lon: 43.81, -70.26"
"Lat (deg N):","43.81"
"Long (deg W):","70.26"
"Elev (m):","82.919998168945"
"DC System Size (kW):","4.4"
"Module Type:","Premium"
"Array Type:","Fixed (roof mount)"
"Array Tilt (deg):","43"
"Array Azimuth (deg):","225"
"System Losses:","14.08"
"Invert Efficiency:","96"
"DC to AC Size Ratio:","1.2"
"Average Cost of Electricity Purchased from Utility ($/kWh):","0.090"
"Capacity Factor (%)","14.3"	

"Month","Day","Hour","Beam Irradiance (W/m^2)","Diffuse Irradiance (W/m^2)","Ambient Temperature (C)","Wind Speed (m/s)","Plane of Array Irradiance (W/m^2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","1","0","0","0","-1","0","0","-1","0","0"
"1","1","1","0","0","-1","0","0","-1","0","0"
"1","1","2","0","0","-1","0","0","-1","0","0"
"1","1","3","0","0","-1","0","0","-1","0","0"
"1","1","4","0","0","-1","0","0","-1","0","0"
"1","1","5","0","0","-2","0","0","-2","0","0"
"1","1","6","0","0","-2","0","0","-2","0","0"
"1","1","7","118","13","-1","0","10.288","-5.172","42.999","19.769"
"1","1","8","523","54","0","0","123.404","1.768","383.675","353.705"
"1","1","9","699","75","0","0","339.359","14.235","1227.554","1176.662"
"1","1","10","479","112","0","0","401.942","19.356","1519.65","1460.114"
"1","1","11","498","122","1","0","514.234","25.304","1929.948","1857.053"
"1","1","12","387","137","1","0","505.463","26.048","1899.861","1827.993"
"1","1","13","329","126","1","0","453.621","24.025","1718.587","1652.751"
"1","1","14","262","89","0","0","355.652","18.794","1371.572","1316.508"
"1","1","15","137","37","0","0","181.257","10.491","717.618","680.088"
"1","1","16","0","0","0","0","0","0","0","0"
"1","1","17","0","0","0","0","0","0","0","0"
"1","1","18","0","0","0","0","0","0","0","0"
"1","1","19","0","0","0","0","0","0","0","0"
"1","1","20","0","0","0","0","0","0","0","0"
"1","1","21","0","0","0","0","0","0","0","0"
"1","1","22","0","0","-1","0","0","-1","0","0"
"1","1","23","0","0","-2","0","0","-2","0","0"
"1","2","0","0","0","-2","0","0","-2","0","0"
"1","2","1","0","0","-3","0","0","-3","0","0"
"1","2","2","0","0","-3","0","0","-3","0","0"
"1","2","3","0","0","-4","0","0","-4","0","0"
"1","2","4","0","0","-5","0","0","-5","0","0"
"1","2","5","0","0","-6","0","0","-6","0","0"
"1","2","6","0","0","-6","0","0","-6","0","0"
"1","2","7","0","18","-5","0","14.914","-9.539","63.198","39.596"
"1","2","8","580","50","-3","0","126.458","-1.052","386.782","356.746"
"1","2","9","738","71","-1","0","348.462","13.674","1259.405","1207.605"
"1","2","10","810","82","0","0","556.517","25.443","2050.938","1973.831"
"1","2","11","744","71","0","0","633.803","30.204","2334.725","2247.256"
"1","2","12","713","74","0","0","696.915","33.109","2552.692","2456.802"
"1","2","13","772","77","0","0","795.314","37.024","2875.314","2766.223"
"1","2","14","678","59","0","0","684.251","33.982","2500.218","2406.392"
"1","2","15","436","33","-1","0","417.622","22.569","1584.948","1523.381"
"1","2","16","0","0","-2","0","0","-2","0","0"
"1","2","17","0","0","-2","0","0","-2","0","0"
"1","2","18","0","0","-3","0","0","-3","0","0"
"1","2","19","0","0","-3","0","0","-3","0","0"
"1","2","20","0","0","-3","0","0","-3","0","0"
"1","2","21","0","0","-3","0","0","-3","0","0"
"1","2","22","0","0","-3","0","0","-3","0","0"
"1","2","23","0","0","-4","0","0","-4","0","0"
"1","3","0","0","0","-3","0","0","-3","0","0"
"1","3","1","0","0","-3","0","0","-3","0","0"
"1","3","2","0","0","-3","0","0","-3","0","0"
"1","3","3","0","0","-3","0","0","-3","0","0"
"1","3","4","0","0","-3","0","0","-3","0","0"
"1","3","5","0","0","-4","0","0","-4","0","0"
"1","3","6","0","0","-4","0","0","-4","0","0"
"1","3","7","0","16","-3","0","13.402","-7.702","56.464","32.987"
"1","3","8","523","54","-2","0","121.602","-0.344","379.41","349.53"
"1","3","9","695","77","0","0","337.979","14.127","1222.342","1171.598"
"1","3","10","772","89","0","0","545.004","24.911","2013.388","1937.601"
"1","3","11","801","95","0","0","705.736","32.676","2577.407","2480.537"
"1","3","12","384","148","1","0","515.727","28.17","1924.123","1851.427"
"1","3","13","115","141","1","0","274.594","17.213","1065.625","1019.213"
"1","3","14","93","95","1","0","207.633","11.535","821.176","781.11"
"1","3","15","43","37","0","0","93.717","4.362","379.131","349.257"
"1","3","16","0","0","0","0","0","0","0","0"
"1","3","17","0","0","0","0","0","0","0","0"
"1","3","18","0","0","0","0","0","0","0","0"
"1","3","19","0","0","0","0","0","0","0","0"
"1","3","20","0","0","0","0","0","0","0","0"
"1","3","21","0","0","-1","0","0","-1","0","0"
"1","3","22","0","0","-1","0","0","-1","0","0"
"1","3","23","0","0","-2","0","0","-2","0","0"
"1","4","0","0","0","-2","0","0","-2","0","0"
"1","4","1","0","0","-3","0","0","-3","0","0"
"1","4","2","0","0","-5","0","0","-5","0","0"
"1","4","3","0","0","-6","0","0","-6","0","0"
"1","4","4","0","0","-7","0","0","-7","0","0"
"1","4","5","0","0","-8","0","0","-8","0","0"
"1","4","6","0","0","-8","0","0","-8","0","0"
"1","4","7","0","14","-8","0","11.712","-12.66","50.111","26.751"
"1","4","8","294","70","-8","0","102.729","-8.254","363.927","334.374"
"1","4","9","437","105","-7","0","268.557","3.952","1022.177","976.93"
"1","4","10","514","107","-7","1","414.453","7.939","1626.68","1563.796"
"1","4","11","652","91","-7","1","594.917","15.43","2308.02","2221.555"
"1","4","12","787","102","-7","1","796.513","23.478","3019.058","2903.801"
"1","4","13","767","85","-7","1","802.159","24.932","3028.361","2912.7"
"1","4","14","672","66","-7","1","689.459","21.249","2635.411","2536.22"
"1","4","15","444","36","-8","1","427.85","10.592","1691.512","1626.553"
"1","4","16","0","0","-9","1","0","-9","0","0"
"1","4","17","0","0","-10","1","0","-10","0","0"
"1","4","18","0","0","-11","0","0","-11","0","0"
"1","4","19","0","0","-12","0","0","-12","0","0"
"1","4","20","0","0","-13","0","0","-13","0","0"
"1","4","21","0","0","-14","0","0","-14","0","0"
"1","4","22","0","0","-14","0","0","-14","0","0"
"1","4","23","0","0","-15","0","0","-15","0","0"
"1","5","0","0","0","-15","0","0","-15","0","0"
"1","5","1","0","0","-15","0","0","-15","0","0"
"1","5","2","0","0","-16","0","0","-16","0","0"
"1","5","3","0","0","-17","0","0","-17","0","0"
"1","5","4","0","0","-18","0","0","-18","0","0"
"1","5","5","0","0","-18","0","0","-18","0","0"
"1","5","6","0","0","-18","0","0","-18","0","0"
"1","5","7","0","17","-18","0","14.176","-22.541","62.511","38.922"
"1","5","8","598","33","-15","0","111.255","-14.448","334.601","305.662"
"1","5","9","724","42","-13","0","309.268","0.135","1156.662","1107.759"
"1","5","10","910","65","-11","0","592.213","16.17","2249.805","2165.508"
"1","5","11","931","69","-9","0","763.772","26.951","2845.21","2737.387"
"1","5","12","922","68","-8","0","860.352","32.602","3156.759","3035.433"
"1","5","13","877","62","-7","0","861.659","34.283","3146.275","3025.417"
"1","5","14","780","51","-7","0","754.344","30.664","2789.38","2683.89"
"1","5","15","555","31","-9","0","496.555","18.85","1908.596","1836.431"
"1","5","16","0","0","-10","0","0","-10","0","0"
"1","5","17","0","0","-11","0","0","-11","0","0"
"1","5","18","0","0","-11","0","0","-11","0","0"
"1","5","19","0","0","-12","1","0","-12","0","0"
"1","5","20","0","0","-12","1","0","-12","0","0"
"1","5","21","0","0","-12","1","0","-12","0","0"
"1","5","22","0","0","-12","0","0","-12","0","0"
"1","5","23","0","0","-12","0","0","-12","0","0"
"1","6","0","0","0","-12","0","0","-12","0","0"
"1","6","1","0","0","-12","0","0","-12","0","0"
"1","6","2","0","0","-12","0","0","-12","0","0"
"1","6","3","0","0","-12","0","0","-12","0","0"
"1","6","4","0","0","-12","0","0","-12","0","0"
"1","6","5","0","0","-12","0","0","-12","0","0"
"1","6","6","0","0","-12","0","0","-12","0","0"
"1","6","7","0","17","-11","0","14.18","-15.823","61.269","37.703"
"1","6","8","554","38","-9","0","109.588","-8.442","332.09","303.204"
"1","6","9","682","52","-6","0","305.472","6.684","1123.145","1075.167"
"1","6","10","881","71","-4","0","582.157","22.259","2166.592","2085.344"
"1","6","11","894","78","-2","0","747.815","32.638","2730.349","2627.298"
"1","6","12","781","63","0","0","739.318","35.491","2684.633","2583.45"
"1","6","13","601","84","0","0","659.625","32.675","2423.056","2332.222"
"1","6","14","723","59","0","0","716.307","34.005","2617.344","2518.879"
"1","6","15","498","34","-2","0","468.986","23.846","1772.307","1704.713"
"1","6","16","0","0","-3","0","0","-3","0","0"
"1","6","17","0","0","-3","0","0","-3","0","0"
"1","6","18","0","0","-4","0","0","-4","0","0"
"1","6","19","0","0","-4","0","0","-4","0","0"
"1","6","20","0","0","-5","0","0","-5","0","0"
"1","6","21","0","0","-5","0","0","-5","0","0"
"1","6","22","0","0","-6","0","0","-6","0","0"
"1","6","23","0","0","-6","0","0","-6","0","0"
"1","7","0","0","0","-7","0","0","-7","0","0"
"1","7","1","0","0","-7","0","0","-7","0","0"
"1","7","2","0","0","-7","0","0","-7","0","0"
"1","7","3","0","0","-8","0","0","-8","0","0"
"1","7","4","0","0","-8","0","0","-8","0","0"
"1","7","5","0","0","-8","0","0","-8","0","0"
"1","7","6","0","0","-8","0","0","-8","0","0"
"1","7","7","0","18","-7","0","14.932","-11.612","63.683","40.073"
"1","7","8","616","48","-4","0","124.633","-2.241","373.924","344.16"
"1","7","9","771","68","-1","0","352.201","13.799","1266.62","1214.613"
"1","7","10","655","81","0","0","469.356","22.134","1750.924","1684.033"
"1","7","11","640","95","1","0","590.572","28.78","2187.742","2105.725"
"1","7","12","638","93","2","0","665.314","33.45","2434.505","2343.231"
"1","7","13","692","70","2","0","720.103","35.989","2613.516","2515.205"
"1","7","14","714","62","1","0","722.814","35.62","2625.904","2527.095"
"1","7","15","490","36","0","0","465.859","25.618","1749.804","1682.949"
"1","7","16","0","0","0","0","0","0","0","0"
"1","7","17","0","0","-1","0","0","-1","0","0"
"1","7","18","0","0","-1","0","0","-1","0","0"
"1","7","19","0","0","-1","0","0","-1","0","0"
"1","7","20","0","0","-1","0","0","-1","0","0"
"1","7","21","0","0","-3","0","0","-3","0","0"
"1","7","22","0","0","-4","0","0","-4","0","0"
"1","7","23","0","0","-5","0","0","-5","0","0"
"1","8","0","0","0","-5","0","0","-5","0","0"
"1","8","1","0","0","-5","0","0","-5","0","0"
"1","8","2","0","0","-5","0","0","-5","0","0"
"1","8","3","0","0","-5","0","0","-5","0","0"
"1","8","4","0","0","-5","0","0","-5","0","0"
"1","8","5","0","0","-5","0","0","-5","0","0"
"1","8","6","0","0","-5","0","0","-5","0","0"
"1","8","7","0","17","-4","0","14.192","-8.589","59.959","36.417"
"1","8","8","470","62","-2","0","118.013","-0.61","378.474","348.614"
"1","8","9","637","90","0","0","325.684","13.544","1183.531","1133.879"
"1","8","10","712","107","0","0","527.482","24.121","1955.635","1881.855"
"1","8","11","351","153","0","0","428.585","22.346","1626.693","1563.809"
"1","8","12","2","137","1","0","128.495","10.155","510.989","478.248"
"1","8","13","0","106","1","0","97.845","4.182","396.853","366.602"
"1","8","14","0","70","1","0","64.168","1.585","262.466","235.007"
"1","8","15","0","26","0","0","21.775","-2.941","90.369","66.261"
"1","8","16","0","0","0","0","0","0","0","0"
"1","8","17","0","0","0","0","0","0","0","0"
"1","8","18","0","0","0","0","0","0","0","0"
"1","8","19","0","0","0","0","0","0","0","0"
"1","8","20","0","0","0","0","0","0","0","0"
"1","8","21","0","0","0","0","0","0","0","0"
"1","8","22","0","0","0","0","0","0","0","0"
"1","8","23","0","0","0","0","0","0","0","0"
"1","9","0","0","0","0","0","0","0","0","0"
"1","9","1","0","0","0","0","0","0","0","0"
"1","9","2","0","0","0","0","0","0","0","0"
"1","9","3","0","0","0","0","0","0","0","0"
"1","9","4","0","0","0","0","0","0","0","0"
"1","9","5","0","0","0","0","0","0","0","0"
"1","9","6","0","0","0","0","0","0","0","0"
"1","9","7","0","9","0","0","7.504","-4.949","31.344","8.328"
"1","9","8","61","68","0","0","66.362","-1.86","260.467","233.048"
"1","9","9","95","123","0","0","151.226","4.551","597.67","562.964"
"1","9","10","304","143","1","0","323.786","14.887","1247.689","1196.224"
"1","9","11","82","172","1","0","232.574","13.178","913.546","871.142"
"1","9","12","43","160","2","0","202.923","11.685","802.445","762.844"
"1","9","13","81","149","2","0","237.888","12.828","937.134","894.121"
"1","9","14","62","102","1","0","174.119","9.507","693.479","656.527"
"1","9","15","22","42","1","0","69.633","3.539","282.666","254.796"
"1","9","16","0","0","1","0","0","1","0","0"
"1","9","17","0","0","1","0","0","1","0","0"
"1","9","18","0","0","1","0","0","1","0","0"
"1","9","19","0","0","1","0","0","1","0","0"
"1","9","20","0","0","1","0","0","1","0","0"
"1","9","21","0","0","1","0","0","1","0","0"
"1","9","22","0","0","2","0","0","2","0","0"
"1","9","23","0","0","2","0","0","2","0","0"
"1","10","0","0","0","2","0","0","2","0","0"
"1","10","1","0","0","2","0","0","2","0","0"
"1","10","2","0","0","2","0","0","2","0","0"
"1","10","3","0","0","3","0","0","3","0","0"
"1","10","4","0","0","3","0","0","3","0","0"
"1","10","5","0","0","3","0","0","3","0","0"
"1","10","6","0","0","3","0","0","3","0","0"
"1","10","7","0","2","3","0","1.66","-2.195","6.874","0"
"1","10","8","0","21","3","0","17.538","-1.439","72.436","48.663"
"1","10","9","0","41","4","0","34.348","0.749","140.872","115.807"
"1","10","10","0","25","4","1","20.911","1.804","85.47","61.454"
