"Time (UTC)","Barometric Pressure (mbar)"
2018-11-28 20:18:00,990.80
2018-11-28 20:23:00,990.90
2018-11-28 20:28:00,991.00
2018-11-28 20:33:00,991.00
2018-11-28 20:38:00,991.00
2018-11-28 20:43:00,991.10
2018-11-28 20:48:00,991.10
2018-11-28 20:53:00,991.30
2018-11-28 20:58:00,991.30
2018-11-28 21:03:00,991.40
2018-11-28 21:08:00,991.50
2018-11-28 21:13:00,991.60
2018-11-28 21:18:00,991.70
2018-11-28 21:23:00,991.80
2018-11-28 21:28:00,991.80
2018-11-28 21:33:00,991.90
2018-11-28 21:38:00,992.00
2018-11-28 21:43:00,992.00
2018-11-28 21:48:00,992.10
2018-11-28 21:53:00,992.10
2018-11-28 21:58:00,992.10
2018-11-28 22:03:00,992.20
2018-11-28 22:08:00,992.20
2018-11-28 22:13:00,992.30
2018-11-28 22:18:00,992.40
2018-11-28 22:23:00,992.60
2018-11-28 22:28:00,992.60
2018-11-28 22:33:00,992.70
2018-11-28 22:38:00,992.80
2018-11-28 22:43:00,992.80
2018-11-28 22:48:00,992.90
2018-11-28 22:53:00,992.90
2018-11-28 22:58:00,993.00
2018-11-28 23:03:00,993.10
2018-11-28 23:08:00,993.10
2018-11-28 23:13:00,993.10
2018-11-28 23:18:00,993.20
2018-11-28 23:23:00,993.20
2018-11-28 23:28:00,993.30
2018-11-28 23:33:00,993.40
2018-11-28 23:38:00,993.50
2018-11-28 23:43:00,993.60
2018-11-28 23:48:00,993.70
2018-11-28 23:58:00,993.80
2018-11-29 00:08:00,993.90
2018-11-29 00:13:00,993.90
2018-11-29 00:18:00,994.00
2018-11-29 00:23:00,994.00
2018-11-29 00:28:00,994.10
2018-11-29 00:38:00,994.10
2018-11-29 00:43:00,994.20
2018-11-29 00:48:00,994.30
2018-11-29 00:53:00,994.40
2018-11-29 00:58:00,994.50
2018-11-29 01:03:00,994.60
2018-11-29 01:08:00,994.70
2018-11-29 01:13:00,994.80
2018-11-29 01:18:00,994.80
2018-11-29 01:23:00,994.80
2018-11-29 01:28:00,994.90
2018-11-29 01:33:00,994.90
2018-11-29 01:38:00,995.00
2018-11-29 01:43:00,995.00
2018-11-29 01:48:00,995.10
2018-11-29 01:53:00,995.10
2018-11-29 01:58:00,995.20
2018-11-29 02:03:00,995.20
2018-11-29 02:08:00,995.20
2018-11-29 02:13:00,995.30
2018-11-29 02:18:00,995.30
2018-11-29 02:23:00,995.30
2018-11-29 02:28:00,995.20
2018-11-29 02:33:00,995.30
2018-11-29 02:38:00,995.40
2018-11-29 02:43:00,995.40
2018-11-29 02:48:00,995.40
2018-11-29 02:53:00,995.50
2018-11-29 02:58:00,995.60
2018-11-29 03:03:00,995.70
2018-11-29 03:08:00,995.60
2018-11-29 03:13:00,995.70
2018-11-29 03:18:00,995.80
2018-11-29 03:23:00,995.90
2018-11-29 03:28:00,995.90
2018-11-29 03:33:00,995.90
2018-11-29 03:38:00,996.00
2018-11-29 03:43:00,996.00
2018-11-29 03:48:00,996.10
2018-11-29 03:53:00,996.20
2018-11-29 03:58:00,996.40
2018-11-29 04:03:00,996.40
2018-11-29 04:08:00,996.50
2018-11-29 04:18:00,996.50
2018-11-29 04:23:00,996.50
2018-11-29 04:28:00,996.60
2018-11-29 04:33:00,996.50
2018-11-29 04:38:00,996.50
2018-11-29 04:43:00,996.50
2018-11-29 04:48:00,996.60
2018-11-29 04:53:00,996.50
2018-11-29 04:58:00,996.50
2018-11-29 05:03:00,996.40
2018-11-29 05:08:00,996.40
2018-11-29 05:13:00,996.40
2018-11-29 05:18:00,996.40
2018-11-29 05:23:00,996.50
2018-11-29 05:28:00,996.50
2018-11-29 05:33:00,996.60
2018-11-29 05:38:00,996.70
2018-11-29 05:43:00,996.70
2018-11-29 05:48:00,996.80
2018-11-29 05:53:00,997.00
2018-11-29 05:58:00,997.00
2018-11-29 06:03:00,997.00
2018-11-29 06:08:00,997.00
2018-11-29 06:13:00,997.20
2018-11-29 06:18:00,997.20
2018-11-29 06:23:00,997.40
2018-11-29 06:28:00,997.70
2018-11-29 06:33:00,997.80
2018-11-29 06:38:00,997.90
2018-11-29 06:43:00,998.00
2018-11-29 06:48:00,998.00
2018-11-29 06:53:00,998.20
2018-11-29 06:58:00,998.20
2018-11-29 07:03:00,998.20
2018-11-29 07:08:00,998.20
2018-11-29 07:18:00,998.20
2018-11-29 07:23:00,998.30
2018-11-29 07:28:00,998.40
2018-11-29 07:33:00,998.50
2018-11-29 07:38:00,998.60
2018-11-29 07:43:00,998.70
2018-11-29 07:48:00,998.80
2018-11-29 07:53:00,998.90
2018-11-29 07:58:00,998.90
2018-11-29 08:03:00,999.00
2018-11-29 08:08:00,999.10
2018-11-29 08:13:00,999.20
2018-11-29 08:18:00,999.40
2018-11-29 08:23:00,999.50
2018-11-29 08:28:00,999.60
2018-11-29 08:33:00,999.70
2018-11-29 08:38:00,999.80
2018-11-29 08:43:00,999.80
2018-11-29 08:48:00,999.60
2018-11-29 08:53:00,999.70
2018-11-29 08:58:00,999.80
2018-11-29 09:03:00,999.90
2018-11-29 09:08:00,1000.00
2018-11-29 09:13:00,1000.00
2018-11-29 09:18:00,1000.10
2018-11-29 09:23:00,1000.10
2018-11-29 09:28:00,1000.20
2018-11-29 09:33:00,1000.20
2018-11-29 09:38:00,1000.30
2018-11-29 09:43:00,1000.40
2018-11-29 09:48:00,1000.40
2018-11-29 09:53:00,1000.50
2018-11-29 09:58:00,1000.60
2018-11-29 10:03:00,1000.60
2018-11-29 10:08:00,1000.50
2018-11-29 10:13:00,1000.60
2018-11-29 10:18:00,1000.70
2018-11-29 10:23:00,1000.80
2018-11-29 10:28:00,1000.70
2018-11-29 10:33:00,1000.60
2018-11-29 10:38:00,1000.70
2018-11-29 10:43:00,1000.60
2018-11-29 10:48:00,1000.80
2018-11-29 10:53:00,1000.80
2018-11-29 10:58:00,1001.00
2018-11-29 11:03:00,1000.90
2018-11-29 11:08:00,1001.00
2018-11-29 11:13:00,1001.20
2018-11-29 11:18:00,1001.30
2018-11-29 11:23:00,1001.30
2018-11-29 11:28:00,1001.40
2018-11-29 11:33:00,1001.40
2018-11-29 11:38:00,1001.60
2018-11-29 11:43:00,1001.60
2018-11-29 11:48:00,1001.60
2018-11-29 11:53:00,1001.70
2018-11-29 11:58:00,1001.90
2018-11-29 12:03:00,1001.90
2018-11-29 12:08:00,1001.90
2018-11-29 12:18:00,1002.20
2018-11-29 12:23:00,1002.20
2018-11-29 12:28:00,1002.30
2018-11-29 12:33:00,1002.40
2018-11-29 12:38:00,1002.40
2018-11-29 12:43:00,1002.50
2018-11-29 12:48:00,1002.50
2018-11-29 12:53:00,1002.60
2018-11-29 12:58:00,1002.70
2018-11-29 13:03:00,1002.80
2018-11-29 13:08:00,1002.80
2018-11-29 13:13:00,1002.80
2018-11-29 13:18:00,1002.80
2018-11-29 13:23:00,1002.80
2018-11-29 13:28:00,1002.80
